NOMBRE,RATING,PRECIO,FULLHD,NIGHTVISION
WYZE,3.6,39.98,true,true
WYZE,4.5,34.99,true,true
KASA,4.4,34.99,true,true
GOOGLE NEST,4.4,278.00,false,false
GOOGLE NEST,4.5,85.99,false,false
WYZE,4.5,69.98,true,true
ARLO,4.1,79.00,true,true
WYZE,4.4,84.25,true,true
WYZE,4.4,49.98,true,true
YI,4.3,22.49,true,true
YI,4.3,89.99,true,true
NOORIO,4.1,139.99,false,true
REOLINK,4.3,31.99,false,true
REOLINK,4.3,159.99,false,true
WANSVIEW,4.3,29.99,true,true
KASA,4.4,49.99,false,true
DRIVEWAY,4.4,42.99,false,false
KASA,4.3,26.99,true,true
SIMPLISAFE,4.2,189.99,false,false
IHOXTX,4.8,69.99,false,true
REOLINK,4.2,237.99,false,true
EMACROS,4.4,59.99,false,false
ARLO,4.2,69.99,true,true
JMDHKK,3.8,43.89,false,false
GMK,4.6,39.99,true,true
ARLO,4.0,156.97,false,true
VIMTAG,4.2,19.99,false,true
EMDMAK,4.4,13.99,false,false
REOLINK,4.3,42.39,false,false
YI,4.2,33.99,false,true
GE,4.5,22.86,false,false
WYZE,4.5,41.95,true,true
TP-LINK,4.5,27.99,true,true
REOLINK,4.6,999.99,false,false
SIMPLISAFE,4.8,14.99,false,false
REOLINK,4.3,79.99,false,true
LAVIEW,4.2,71.99,true,true
REOLINK,4.4,999.99,false,false
IMOU,4.1,29.99,true,true
TP-LINK,4.4,64.99,false,true
BOAVISION,4.0,49.99,true,true
WYZE,4.0,79.98,true,true
UNIDEN BEARCAT,4.1,109.91,false,false
DEKCO,4.2,69.99,true,true
GALAYOU,4.3,28.79,false,false
REOLINK,4.3,63.99,false,false
HENDUN,4.4,23.99,false,false
SIMPLISAFE,4.4,169.99,false,false
VISEEFOCU,4.8,79.99,true,true
WYZE,4.5,35.98,true,true
ANNKE,4.5,259.99,false,false
WGV,4.6,29.99,false,true
CLODGDGO,4.6,39.99,true,false
KOSIN,4.6,14.99,false,false
REOLINK,4.1,89.99,true,true
AMCREST,4.3,49.29,false,false
REOLINK,4.4,227.27,false,true
DATACOLOR,4.4,144.61,false,false
