,MARCA,DISCO,RAM,PULGADAS,PRECIO,MODELO,PROCESADOR,LINK,GAMA,PUNTUACION
0,samsung,1024,16,15.6,999.99,galaxy book,intel core i7,https://www.bestbuy.com/site/samsung-galaxy-book-pro-360-15-6-amoled-touch-screen-laptop-intel-evo-platform-core-i7-16gb-memory-1tb-ssd-mystic-navy/6457790.p?skuId=6457790,media baja,37
1,lenovo,512,16,16.0,999.99,yoga,intel core i7,https://www.bestbuy.com/site/lenovo-yoga-7i-16-2-5k-touch-2-in-1-laptop-intel-evo-platform-core-i7-1260p-16gb-memory-512gb-ssd-arctic-grey/6502220.p?skuId=6502220,media baja,39
2,lenovo,1024,32,16.0,1399.99,yoga,intel core i7,https://www.bestbuy.com/site/lenovo-yoga-7i-16-2-5k-touch-2-in-1-laptop-intel-evo-platform-core-i7-12700h-32gb-memory-intel-arc-a370m-1tb-ssd-arctic-grey/6502223.p?skuId=6502223,media baja,43
3,msi,1024,16,15.6,999.99,sword,intel core i7,https://www.bestbuy.com/site/msi-sword-15-6-144hz-gaming-laptop-intel-core-i7-nvidia-geforce-rtx-3060-1tb-ssd-16gb-memory-black/6496176.p?skuId=6496176,media baja,43
4,dell,1024,16,16.0,1099.99,g16,intel core i7,https://www.bestbuy.com/site/dell-g16-16-0-qhd-165hz-gaming-laptop-12th-generation-intel-core-i7-16gb-memory-nvidia-geforce-rtx-3060-1tb-ssd-obsidian-black/6519388.p?skuId=6519388,media baja,49
5,lenovo,512,16,14.0,949.99,yoga,intel core i7,https://www.bestbuy.com/site/lenovo-yoga-7i-14-2-2k-touch-2-in-1-laptop-intel-evo-platform-core-i7-1255u-16gb-memory-512gb-ssd-stone-blue/6502222.p?skuId=6502222,media baja,62
6,lg,1024,32,15.0,1499.99,gram,intel core i7,https://www.bestbuy.com/site/lg-gram-15-touchscreen-ultra-lightweight-laptop-intel-platform-12th-gen-intel-core-i7-32gb-ram-1tb-nvme-ssd/6504763.p?skuId=6504763,media baja,76
7,msi,512,16,16.0,1099.99,creator,intel core i7,https://www.bestbuy.com/site/msi-creator-m16-16-laptop-intel-core-i7-16-gb-memory-nvidia-geforce-rtx-3050-512-gb-ssd-black/6491549.p?skuId=6491549,media baja,80
8,samsung,1024,16,15.6,1149.99,galaxy book2,intel core i7,https://www.bestbuy.com/site/samsung-galaxy-book2-pro-360-2-in-1-15-6-amoled-touch-screen-laptop-intel-12th-gen-evo-core-i7-16gb-ddr5-memory-1tb-ssd-silver/6501593.p?skuId=6501593,media baja,93
9,samsung,1024,16,15.6,1149.99,galaxy book2,intel core i7,https://www.bestbuy.com/site/samsung-galaxy-book2-pro-360-2-in-1-15-6-amoled-touch-screen-laptop-intel-12th-gen-evo-core-i7-16gb-ddr5-memory-1tb-ssd-burgundy/6501592.p?skuId=6501592,media baja,99
